trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
205,False,"{'a': 0.5, 'e': 0.1274133376787588}",20,6,8.98596207876928,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
206,False,"{'a': 0.5, 'e': 0.12613920430197118}",30,20,20.293567152156474,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
207,False,"{'a': 0.5, 'e': 0.12487781225895148}",30,10,38.0305729771994,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
208,False,"{'a': 0.5, 'e': 0.12362903413636196}",20,8,23.635777049276506,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
209,False,"{'a': 0.5, 'e': 0.12239274379499834}",25,14,20.054011068677976,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
210,False,"{'a': 0.5, 'e': 0.12116881635704835}",25,14,17.873143576102333,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
211,False,"{'a': 0.5, 'e': 0.11995712819347787}",20,7,23.453639503961785,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
212,False,"{'a': 0.5, 'e': 0.11875755691154309}",30,17,5.097108419363607,"{0: 11, 1: 1, 2: 1, 3: 0, 4: 0}",1
213,False,"{'a': 0.5, 'e': 0.11756998134242766}",25,17,16.780308454856808,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
214,False,"{'a': 0.5, 'e': 0.11639428152900338}",25,10,2.888974161517804,"{0: 13, 1: 0, 2: 2, 3: 0, 4: 0}",1
215,False,"{'a': 0.5, 'e': 0.11523033871371334}",25,16,1.3488907172941151,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
216,False,"{'a': 0.5, 'e': 0.11407803532657622}",20,15,9.380312208995472,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
217,False,"{'a': 0.5, 'e': 0.11293725497331045}",25,8,-25.338440673741616,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 1}",1
218,False,"{'a': 0.5, 'e': 0.11180788242357734}",30,16,16.86084524427498,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
219,False,"{'a': 0.5, 'e': 0.11068980359934157}",30,18,24.36083189776424,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
220,False,"{'a': 0.5, 'e': 0.10958290556334815}",25,7,32.820218719722334,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
221,False,"{'a': 0.5, 'e': 0.10848707650771466}",25,19,12.175492474129527,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
